source_id,record_date,asset_id,legacy_or_alias_id,asset_type,station_m,station_label,offset_m,reference_control,rim_or_surface_elev_m,invert_in_m,invert_out_m,diameter_mm,material,station_status,record_status,known_revision_issue,trace_note
AS-001,2026-06-01,MH-01,,manhole,60,0+060.0,0.0,SC-2026-REV-B,104.155,102.837,102.777,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-002,2026-06-01,MH-02,,manhole,142,0+142.0,0.0,SC-2026-REV-B,104.083,102.751,102.691,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-003,2026-06-01,MH-03,,manhole,225,0+225.0,0.0,SC-2026-REV-B,104.009,102.664,102.604,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-004,2026-06-01,MH-04,,manhole,310,0+310.0,0.0,SC-2026-REV-B,103.812,102.575,102.514,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-005,2026-06-01,MH-05,,manhole,390,0+390.0,0.0,SC-2026-REV-B,103.743,102.491,102.431,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-006,2026-06-01,MH-06,,manhole,470,0+470.0,0.0,SC-2026-REV-B,103.672,102.407,102.347,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-007,2026-06-01,MH-07,,manhole,550,0+550.0,0.0,SC-2026-REV-B,103.603,102.323,102.263,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-008,2026-06-01,MH-08,,manhole,630,0+630.0,0.0,SC-2026-REV-B,103.413,102.239,102.178,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-009,2026-06-01,MH-09,,manhole,705,0+705.0,0.0,SC-2026-REV-B,103.349,102.16,102.1,525,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-010,2026-06-01,MH-10,,manhole,782,0+782.0,0.0,SC-2026-REV-B,103.282,102.079,102.019,525,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-011,2026-06-01,MH-11,,manhole,860,0+860.0,0.0,SC-2026-REV-B,103.215,101.997,101.937,525,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-012,2026-06-01,MH-12,,manhole,940,0+940.0,0.0,SC-2026-REV-B,103.025,101.913,101.853,525,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-013,2026-06-01,MH-13,,manhole,1020,1+020.0,0.0,SC-2026-REV-B,102.955,101.829,101.769,525,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-014,2026-06-01,MH-14,,manhole,1100,1+100.0,0.0,SC-2026-REV-B,102.885,101.745,101.685,600,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-015,2026-06-01,MH-15,,manhole,1182,1+182.0,0.0,SC-2026-REV-B,102.812,101.659,101.599,600,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-016,2026-06-01,MH-16,,manhole,1265,1+265.0,0.0,SC-2026-REV-B,102.619,101.572,101.512,600,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-017,2026-06-01,MH-17,,manhole,1320,1+320.0,0.0,SC-2026-REV-B,102.58,101.514,101.454,600,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-018,2026-06-01,MH-18,,manhole,1375,1+375.0,0.0,SC-2026-REV-B,102.541,101.456,101.396,600,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-019,2026-06-01,CB-01,,catch basin,25,0+025.0,-5.8,SC-2026-REV-B,103.794,,102.429,375,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-020,2026-06-01,CB-02,,catch basin,84,0+084.0,5.7,SC-2026-REV-B,103.761,,102.379,375,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-021,2026-06-01,CB-03,,catch basin,138,0+138.0,-5.8,SC-2026-REV-B,103.687,,102.333,375,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-022,2026-06-01,CB-04,,catch basin,210,0+210.0,5.7,SC-2026-REV-B,103.643,,102.272,375,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-023,2026-06-01,CB-05,,catch basin,276,0+276.0,-5.8,SC-2026-REV-B,103.604,,102.215,375,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-024,2026-06-01,CB-06,,catch basin,340,0+340.0,5.7,SC-2026-REV-B,103.521,,102.161,375,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-025,2026-06-01,CB-07,,catch basin,405,0+405.0,-5.8,SC-2026-REV-B,103.483,,102.106,375,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-026,2026-06-01,CB-08,,catch basin,468,0+468.0,5.7,SC-2026-REV-B,103.446,,102.052,375,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-027,2026-06-01,CB-09,,catch basin,525,0+525.0,-5.8,SC-2026-REV-B,103.37,,102.004,375,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-028,2026-06-01,CB-10,,catch basin,585,0+585.0,5.7,SC-2026-REV-B,103.335,,101.953,300,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-029,2026-06-01,CB-11,,catch basin,640,0+640.0,-5.8,SC-2026-REV-B,103.305,,101.906,300,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-030,2026-06-01,CB-12,,catch basin,690,0+690.0,5.7,SC-2026-REV-B,103.234,,101.864,300,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-031,2026-06-01,CB-13,,catch basin,735.4,0+735.4,-5.8,SC-2026-REV-B,103.212,,101.825,300,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-032,2026-06-01,CB-14,CI-14-OLD,catch basin,760,0+760.0,5.7,SC-2026-REV-B,103.207,,101.804,450,precast concrete,legacy station discrepancy; verify against survey,active,Older GIS table shifted this inlet upstream by approximately 5 m; signed survey and RFI-006 supersede.,Station control file is for identity only; field survey controls rim and invert elevations.
AS-033,2026-06-01,CB-15,CB-15A,catch basin,820,0+820.0,-5.8,SC-2026-REV-B,103.128,,101.753,450,precast concrete,chainage verified from station control,active,Name changed during 2025 curb return layout; alias appears in public complaint log.,Station control file is for identity only; field survey controls rim and invert elevations.
AS-034,2026-06-01,CB-16,,catch basin,875,0+875.0,5.7,SC-2026-REV-B,103.097,,101.706,450,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-035,2026-06-01,CB-17,,catch basin,930,0+930.0,-5.8,SC-2026-REV-B,103.067,,101.66,300,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-036,2026-06-01,CB-18,,catch basin,985,0+985.0,5.7,SC-2026-REV-B,102.992,,101.613,300,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-037,2026-06-01,CB-19,,catch basin,1040,1+040.0,-5.8,SC-2026-REV-B,102.962,,101.566,300,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-038,2026-06-01,CB-20,,catch basin,1095,1+095.0,5.7,SC-2026-REV-B,102.932,,101.519,300,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-039,2026-06-01,CB-21,,catch basin,1150,1+150.0,-5.8,SC-2026-REV-B,102.857,,101.472,300,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-040,2026-06-01,CB-22,,catch basin,1205,1+205.0,5.7,SC-2026-REV-B,102.827,,101.426,300,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-041,2026-06-01,CB-23,,catch basin,1260,1+260.0,-5.8,SC-2026-REV-B,102.797,,101.379,300,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-042,2026-06-01,CB-24,,catch basin,1325,1+325.0,5.7,SC-2026-REV-B,102.713,,101.324,300,precast concrete,chainage verified from station control,active,,Station control file is for identity only; field survey controls rim and invert elevations.
AS-043,2026-06-01,SAG-0735,,low point,735.4,0+735.4,-0.6,SC-2026-REV-B,103.018,,,,,sag point verified by gutter shots,active,Sag point is tied to CB-14 inlet pair; flood photos use legacy station 0+730 on two records.,Use signed survey gutter shots SV-040 through SV-046 for low-point elevation.
AS-044,2026-06-01,P-CB14-MH17,ALT-P-14,storm pipe segment,735.4,0+735.4 to 0+821.6,varies,SC-2026-REV-B,,101.860,101.480,450,RCP,preliminary design profile,active,Hydrology workbook copied 0.45 percent slope from preliminary profile; survey-derived slope differs.,Length and slope require derivation from topographic survey points.
AS-045,2026-06-01,MH-17-DWN,,downstream trunk connection,821.6,0+821.6,0.0,SC-2026-REV-B,103.183,101.480,101.420,600,RCP,GIS invert not field verified,active,GIS outlet invert 101.420 conflicts with survey and inspection records near 101.53 to 101.55.,Use signed survey and inspection for final invert reconciliation.
AS-046,2026-06-01,PVMT-0610-0760,,pavement segment,610.0,0+610.0 to 0+760.0,full width,SC-2026-REV-B,,,,,,station range from pavement management system,active,"Pavement management summary lists mill-and-overlay, but cores, FWD, and geotech flag weak subgrade.",Use pavement tests and geotechnical borings to classify rehabilitation.
AS-047,2026-06-01,RAMP-NE-PINE,NE-Pine-1,curb ramp,512.8,0+512.8,-7.4,SC-2026-REV-B,104.062,,,,concrete,constructed 2019,active,"Prior compliance summary shows pass, but 2026 survey cross-slope shots exceed 2 percent.",Use topographic survey and city criteria for compliance.
AS-048,2026-06-01,RAMP-SW-PINE,SW-Pine-2,curb ramp,514.2,0+514.2,6.8,SC-2026-REV-B,104.021,,,,concrete,constructed 2019,active,"Prior compliance summary shows pass, but 2026 survey running slope exceeds 8.33 percent.",Use topographic survey and city criteria for compliance.
AS-049,2026-06-01,GAS-150-0820,G-0820,gas main crossing,820.0,0+820.0,2.1,utility markout grid,,,,150,steel,horizontal location only,active,Asset register contains assumed 1.15 m cover; utility markout does not confirm depth at conflict station.,Utility depth must be confirmed before vertical clearance is resolved.
AS-050,2026-06-01,BUS-STOP-SB-0820,,bus stop drainage complaint area,820.0,0+820.0,-4.5,SC-2026-REV-B,103.135,,,,asphalt/curb,complaint station approximate,active,Public complaints use bus-stop reference and two photos point to station 0+818 to 0+824.,Do not merge this location with the 0+735 sag point without station evidence.
